Name,Mass (kg),Radius(km),"Position (km,km)"
Star0,2e+30,700000.0,"(0.0, 0.0)"
Planet0,6e+24,6000.0,"(149992749.43393576, 1491514.4110297826)"
Planet1,6.6e+25,66000.0,"(-199997404.33231983, -1033399.6420692537)"
Rock0,0,0,"(-961020.1186656079, 129997677.35148379)"
Rock1,0,0,"(-960023.8324234306, 129996684.7081248)"
Rock2,0,0,"(-959027.5461394168, 129995692.06493598)"
Rock3,0,0,"(-958031.2598135623, 129994699.42191735)"
Rock4,0,0,"(-957034.9734458625, 129993706.77906887)"
